id,sku,item_name,item_category,brand,bottle_size_ml,unit_type,units_per_case,location_name,location_stock,location_cost_price,location_selling_price,location_mrp,global_cost_price,global_selling_price,global_mrp,global_stock,tax_rate,reorder_level,reorder_qty,cogs_account_code,income_account_code,inventory_account_code
49225a12-9859-4acf-9e02-7c2f19ed4fda,88-001,8848 Full,Vodka,8848 vodka,750,Bottle,12,Gokarna,3,2100,2250,2375,2100,2250,2375,3,0,10,0,5100,4100,1200
49225a12-9859-4acf-9e02-7c2f19ed4fda,88-001,8848 Full,Vodka,8848 vodka,750,Bottle,12,House,0,2100,2730,2375,2100,2250,2375,3,0,10,0,5100,4100,1200
66e8bb29-94f3-4cd7-ac67-14ada9da1c4c,88-002,8848 Qtr,Vodka,8848 vodka,180,Bottle,12,Gokarna,6,525,570,525,525,570,525,6,0,10,10,5100,4100,1200
66e8bb29-94f3-4cd7-ac67-14ada9da1c4c,88-002,8848 Qtr,Vodka,8848 vodka,180,Bottle,12,House,0,525,605,525,525,570,525,6,0,10,10,5100,4100,1200
84f1e8aa-26c2-4228-844c-ff33746ad52b,AB-001,Absolute Vodka 1 ltr,Vodka,Absolute,1000,PCS,12,Gokarna,1,5983,6600,6650,5983,6600,6650,1,0,10,24,5100,4100,1200
84f1e8aa-26c2-4228-844c-ff33746ad52b,AB-001,Absolute Vodka 1 ltr,Vodka,Absolute,1000,PCS,12,House,0,5983,7645,6650,5983,6600,6650,1,0,10,24,5100,4100,1200
12791f5d-6176-48a3-88d5-1a059307244c,AR-001,Arna Eight 330,Beer,Arna,330,Bottle,24,Gokarna,0,153.13,170,180,153.13,170,180,0,0,10,12,5100,4100,1200
12791f5d-6176-48a3-88d5-1a059307244c,AR-001,Arna Eight 330,Beer,Arna,330,Bottle,24,House,0,153.13,205,180,153.13,170,180,0,0,10,12,5100,4100,1200
f78c3fcb-7c77-4c35-a371-72075d6f61e5,AR-002,Arna Eight 650,Beer,Arna,650,Bottle,12,Gokarna,25,300,330,340,300,330,340,25,0,10,12,5100,4100,1200
f78c3fcb-7c77-4c35-a371-72075d6f61e5,AR-002,Arna Eight 650,Beer,Arna,650,Bottle,12,House,0,300,390,340,300,330,340,25,0,10,12,5100,4100,1200
919b9e31-52a2-48f9-8795-533b0a081663,AR-003,Arna Eight Can,Beer,Arna,500,Bottle,12,Gokarna,20,231.25,270,270,231.25,270,270,20,0,10,12,5100,4100,1200
919b9e31-52a2-48f9-8795-533b0a081663,AR-003,Arna Eight Can,Beer,Arna,500,Bottle,12,House,0,231.25,310,270,231.25,270,270,20,0,10,12,5100,4100,1200
43005fe5-c19b-4630-bb41-62436e7e25c7,BA-001,Barahsinghe Pilsner 650 ml,Beer,Barasinghe,650,Bottle,12,Gokarna,0,356.25,390,390,356.25,390,390,0,0,10,0,5100,4100,1200
43005fe5-c19b-4630-bb41-62436e7e25c7,BA-001,Barahsinghe Pilsner 650 ml,Beer,Barasinghe,650,Bottle,12,House,0,356.25,450,390,356.25,390,390,0,0,10,0,5100,4100,1200
7cdc00cf-d814-4bf4-995b-f61180f604fd,BA-002,Baron Select,Whiskey,Baron,0,Bottle,12,Gokarna,0,263,290,290,263,290,290,0,0,10,0,5100,4100,1200
7cdc00cf-d814-4bf4-995b-f61180f604fd,BA-002,Baron Select,Whiskey,Baron,0,Bottle,12,House,0,263,335,290,263,290,290,0,0,10,0,5100,4100,1200
e88436f2-0460-408d-9494-190246334d27,BI-001,Big Master,Wine,Big master,750,PCS,12,Gokarna,16,625,750,750,625,750,750,16,0,10,0,5100,4100,1200
e88436f2-0460-408d-9494-190246334d27,BI-001,Big Master,Wine,Big master,750,PCS,12,House,0,625,860,750,625,750,750,16,0,10,0,5100,4100,1200
b62807df-8203-41ba-b8a2-76960555ea39,CA-001,Canvas box,Wine,Canvas,,Bottle,,Gokarna,0,2750,3300,3300,2750,0,3300,0,0,2,9,5100,4100,1200
b62807df-8203-41ba-b8a2-76960555ea39,CA-001,Canvas box,Wine,Canvas,,Bottle,,House,0,2750,3795,3300,2750,0,3300,0,0,2,9,5100,4100,1200
5599eb46-8e58-4bbc-957c-7bee386693b6,CA-002,Captain,Cigaratte,,0,PCS,20,Gokarna,325,8,10,10,8,10,10,325,0,60,200,5100,4100,1200
5599eb46-8e58-4bbc-957c-7bee386693b6,CA-002,Captain,Cigaratte,,0,PCS,20,House,0,8,10,10,8,10,10,325,0,60,200,5100,4100,1200
49963ff8-5d2d-4c0d-a531-f5048e644817,CA-003,Carlsberg 650,Beer,Carlsberg,650,Bottle,12,Gokarna,9,440,480,480,440,480,480,9,0,12,36,5100,4100,1200
49963ff8-5d2d-4c0d-a531-f5048e644817,CA-003,Carlsberg 650,Beer,Carlsberg,650,Bottle,12,House,0,440,550,480,440,480,480,9,0,12,36,5100,4100,1200
742c00bc-0e41-4714-a2ae-c873fa9a5ff9,CH-001,Chief Guest Red,Wine,Chief guest,0,Bottle,12,Gokarna,1,671,700,700,671,700,700,1,0,10,24,5100,4100,1200
742c00bc-0e41-4714-a2ae-c873fa9a5ff9,CH-001,Chief Guest Red,Wine,Chief guest,0,Bottle,12,House,0,671,805,700,671,700,700,1,0,10,24,5100,4100,1200
7515afaf-1b16-46c6-8b2b-c5e7bfcb9f11,CH-002,Chief Guest White,Wine,Chief guest,0,Bottle,12,Gokarna,1,671,750,750,671,750,750,1,0,10,24,5100,4100,1200
7515afaf-1b16-46c6-8b2b-c5e7bfcb9f11,CH-002,Chief Guest White,Wine,Chief guest,0,Bottle,12,House,0,671,860,750,671,750,750,1,0,10,24,5100,4100,1200
f497b9d6-6552-4a41-9b27-4c2fc43fece3,CH-003,Chivas Regal,Whiskey,Chivas,1000,PCS,12,Gokarna,1,6500,8000,8000,6500,8000,8000,1,0,1,1,5100,4100,1200
f497b9d6-6552-4a41-9b27-4c2fc43fece3,CH-003,Chivas Regal,Whiskey,Chivas,1000,PCS,12,House,0,6500,9200,8000,6500,8000,8000,1,0,1,1,5100,4100,1200
06a7cded-5f88-4574-9f02-e310f54f568f,CO-001,Coke 1 ltr,Soft Drinks,Coke,1000,Bottle,,Gokarna,0,135,162,162,135,0,162,0,0,2,9,5100,4100,1200
06a7cded-5f88-4574-9f02-e310f54f568f,CO-001,Coke 1 ltr,Soft Drinks,Coke,1000,Bottle,,House,0,135,185,162,135,0,162,0,0,2,9,5100,4100,1200
206202d3-8d4b-4821-9f9a-f7a8570b9957,CO-002,Coke 1.5 ltr,Soft Drinks,Coke,1500,Bottle,,Gokarna,0,185,222,222,185,0,222,0,0,2,9,5100,4100,1200
206202d3-8d4b-4821-9f9a-f7a8570b9957,CO-002,Coke 1.5 ltr,Soft Drinks,Coke,1500,Bottle,,House,0,185,255,222,185,0,222,0,0,2,9,5100,4100,1200
